club,clubLabel,league,season_start,source
Q101859,VfL Wolfsburg,BUN,1999,wikidata
Q102720,Hertha BSC,BUN,1999,wikidata
Q104761,Bayer Leverkusen,BUN,1999,wikidata
Q105844,DSC Arminia Bielefeld,BUN,1999,wikidata
Q106394,SC Fribourg,BUN,1999,wikidata
Q131603,TSV Munich 1860,BUN,1999,wikidata
Q142005,FC Hansa Rostock,BUN,1999,wikidata
Q14551982,SSV Ulm 1846 Fußball,BUN,1999,wikidata
Q154293,MSV Duisbourg,BUN,1999,wikidata
Q15789,Bayern Munich,BUN,1999,wikidata
Q158121,SpVgg Unterhaching,BUN,1999,wikidata
Q32494,FC Schalke 04,BUN,1999,wikidata
Q38245,Eintracht Francfort,BUN,1999,wikidata
Q41420,BV 09 Borussia Dortmund,BUN,1999,wikidata
Q4512,VfB Stuttgart,BUN,1999,wikidata
Q51974,Hambourg SV,BUN,1999,wikidata
Q51976,Werder Brême,BUN,1999,wikidata
Q8466,1. FC Kaiserslautern,BUN,1999,wikidata
Q101859,VfL Wolfsburg,BUN,2000,wikidata
Q102720,Hertha BSC,BUN,2000,wikidata
Q104761,Bayer Leverkusen,BUN,2000,wikidata
Q104770,1. FC Cologne,BUN,2000,wikidata
Q105861,VfL Bochum,BUN,2000,wikidata
Q106394,SC Fribourg,BUN,2000,wikidata
Q107818,FC Energie Cottbus,BUN,2000,wikidata
Q131603,TSV Munich 1860,BUN,2000,wikidata
Q142005,FC Hansa Rostock,BUN,2000,wikidata
Q15789,Bayern Munich,BUN,2000,wikidata
Q158121,SpVgg Unterhaching,BUN,2000,wikidata
Q32494,FC Schalke 04,BUN,2000,wikidata
Q38245,Eintracht Francfort,BUN,2000,wikidata
Q41420,BV 09 Borussia Dortmund,BUN,2000,wikidata
Q4512,VfB Stuttgart,BUN,2000,wikidata
Q51974,Hambourg SV,BUN,2000,wikidata
Q51976,Werder Brême,BUN,2000,wikidata
Q8466,1. FC Kaiserslautern,BUN,2000,wikidata
Q101859,VfL Wolfsburg,BUN,2001,wikidata
