player,name,search_key,nationalite,nationalites_brut,postes,nb_clubs,apps_top5,sitelinks,championnats,first_year,last_year,matchs_grands_clubs,score,difficulte
Q615,Lionel Messi,lionel messi,Argentine,Argentine / Espagne / Italie,attaquant / milieu de terrain,5,578,225,L1 / LIGA,2003,2023,578,398,facile
Q624,Alessandro Del Piero,alessandro del piero,Italie,Italie,attaquant,4,324,86,SA,1991,2014,324,183,facile
Q1835,Zinedine Zidane,zinedine zidane,France,France,milieu de terrain / milieu offensif,4,215,145,LIGA / SA,1989,2006,215,210,facile
Q1839,Laurent Blanc,laurent blanc,France,France,défenseur central,9,115,59,PL / SA,1983,2003,115,94,moyen
Q1879,Corentin Martins,corentin martins,France,France / Portugal,milieu de terrain,6,124,25,L1,1988,2005,30,43,difficile
Q1883,Sabri Lamouchi,sabri lamouchi,France,France / Tunisie,milieu de terrain,10,170,34,L1 / SA,1991,2009,80,67,difficile
Q1885,Jürgen Locadia,jurgen locadia,Curaçao,Royaume des Pays-Bas,ailier droit / attaquant / avant-centre / milieu offensif gauche,5,41,33,BUN / PL,2011,2021,0,37,legende
Q1894,Memphis Depay,memphis depay,Pays-Bas,Ghana / Royaume des Pays-Bas,attaquant / milieu excentré,6,233,69,L1 / LIGA / PL,2011,2026,233,139,facile
Q1907,Hugo Lloris,hugo lloris,France,France,gardien de but,4,579,84,L1 / PL,2005,2023,507,243,facile
Q1908,Mathieu Debuchy,mathieu debuchy,France,France,arrière latéral,6,384,52,L1 / PL,2003,2023,255,141,moyen
Q1909,Adil Rami,adil rami,France,France / Maroc,défenseur / défenseur central,10,493,59,L1 / LIGA / SA,2003,2023,454,199,moyen
Q1910,Yohan Cabaye,yohan cabaye,France,France,milieu de terrain,6,417,51,L1 / PL,2004,2020,230,139,moyen
Q1911,Olivier Giroud,olivier giroud,France,France,attaquant,9,448,89,L1 / PL / SA,2005,2025,375,209,facile
Q1912,Karim Benzema,karim benzema,France,France,attaquant,5,551,107,L1 / LIGA,2004,2026,551,272,facile
Q1913,Florent Malouda,florent malouda,France,France,milieu offensif gauche,9,397,59,L1 / PL,1997,2018,287,156,moyen
Q1915,Laurent Koscielny,laurent koscielny,France,France,défenseur central,5,352,55,L1 / PL,2004,2022,317,154,moyen
Q1916,Patrice Évra,patrice evra,France,France / Sénégal,arrière latéral,8,466,69,L1 / PL / SA,1998,2018,461,208,facile
Q1917,Philippe Mexès,philippe mexes,France,France,libéro,3,400,54,L1 / SA,1999,2016,267,147,moyen
Q1918,Franck Ribéry,franck ribery,France,France,milieu excentré,9,427,89,BUN / L1 / SA,2000,2022,333,198,facile
Q1919,Mathieu Valbuena,mathieu valbuena,France,France,milieu offensif,10,298,53,L1,2004,2026,298,142,moyen
Q1920,Samir Nasri,samir nasri,France,Algérie / France,milieu de terrain,7,364,65,L1 / LIGA / PL,2004,2020,359,173,facile
Q1921,Blaise Matuidi,blaise matuidi,France,Angola / France,milieu de terrain,5,478,60,L1 / SA,2004,2021,301,168,facile
Q1922,Anthony Réveillère,anthony reveillere,France,France,arrière latéral / défenseur,5,445,44,L1 / LIGA / PL / SA,1998,2015,317,152,moyen
Q1923,Jérémy Ménez,jeremy menez,France,France,milieu excentré,11,344,52,L1 / SA,2004,2024,289,144,moyen
Q1924,Steve Mandanda,steve mandanda,France,France / République démocratique du Congo,gardien de but,4,564,57,L1 / PL,2005,2025,469,207,moyen
Q1925,Yann M'Vila,yann mvila,France,France / République du Congo,milieu de terrain,12,35,33,PL / SA,1996,2026,8,38,legende
Q1926,Alou Diarra,alou diarra,France,France,milieu de terrain,15,344,41,BUN / L1 / PL,1999,2017,182,112,moyen
Q1927,Marvin Martin,marvin martin,France,France,milieu de terrain,6,230,32,L1,2008,2023,70,69,difficile
Q1928,Hatem Ben Arfa,hatem ben arfa,France,France / Tunisie,milieu excentré,9,321,55,L1 / LIGA / PL,2004,2021,174,122,moyen
Q1929,Gaël Clichy,gael clichy,France,France,arrière latéral,5,325,53,PL,2002,2023,325,150,moyen
Q1931,Cédric Carrasso,cedric carrasso,France,France,gardien de but,6,378,39,L1,2000,2018,341,145,moyen
Q1934,Sidney Govou,sidney govou,France,France,attaquant,7,328,47,L1,2000,2017,292,138,moyen
Q1935,Éric Abidal,eric abidal,France,France,arrière latéral / défenseur,6,311,68,L1 / LIGA,1999,2014,311,161,facile
Q1936,Djibril Cissé,djibril cisse,France,Côte d'Ivoire / France,attaquant,11,209,54,L1 / PL / SA,1999,2015,125,100,moyen
Q1937,William Gallas,william gallas,France,France,défenseur,6,363,58,L1 / PL,1995,2014,363,167,moyen
Q1938,Bacary Sagna,bacary sagna,France,France,arrière latéral,6,362,64,L1 / PL / SA,2002,2019,267,154,facile
Q1939,Nicolas Anelka,nicolas anelka,France,France,attaquant,12,359,70,L1 / LIGA / PL / SA,1996,2015,294,165,facile
Q1940,André-Pierre Gignac,andrepierre gignac,France,France,attaquant,5,271,51,L1,2004,2026,155,109,moyen
Q1942,Sébastien Squillaci,sebastien squillaci,France,France,défenseur central,7,333,46,L1 / LIGA / PL,1997,2017,236,126,moyen
Q1943,Abou Diaby,abou diaby,France,Côte d'Ivoire / France,milieu de terrain,3,195,50,L1 / PL,2004,2017,185,106,moyen
Q1944,Jérémy Toulalan,jeremy toulalan,France,France,milieu de terrain,5,425,53,L1 / LIGA,2001,2018,287,153,moyen
Q2339,Robin van Persie,robin van persie,Pays-Bas,Royaume des Pays-Bas,attaquant,4,280,97,PL,2001,2019,280,181,facile
Q4599,Raúl Albiol,raul albiol,Espagne,Espagne,défenseur,7,575,68,LIGA / SA,2003,2026,392,204,facile
Q4732,Yassine Benzia,yassine benzia,Algérie / France,Algérie / France,attaquant,2,38,28,L1,2012,2015,38,39,legende
Q5024,Abel Xavier,abel xavier,Portugal,Mozambique / Portugal,arrière latéral,12,100,35,BUN / PL / SA,1990,2008,34,52,difficile
Q5117,Eugen Polanski,eugen polanski,Pologne,Allemagne / Pologne,milieu de terrain,4,276,37,BUN / LIGA,2004,2018,0,65,difficile
Q6817,Daniel Rosin,daniel rosin,Allemagne / République démocratique allemande,Allemagne / République démocratique allemande,défenseur,7,21,6,BUN,1998,2012,21,12,legende
Q9354,Gianfranco Zola,gianfranco zola,Italie,Italie,attaquant,6,168,52,PL / SA,1984,2005,131,95,moyen
Q10520,David Beckham,david beckham,Angleterre,Royaume-Uni,milieu de terrain,6,252,138,L1 / LIGA / PL / SA,1992,2013,252,214,facile
Q10524,Ryan Giggs,ryan giggs,Pays de Galles,Royaume-Uni,milieu de terrain / milieu excentré,1,420,86,PL,1990,2014,420,212,facile
Q10543,Tommy Mooney,tommy mooney,Royaume-Uni,Royaume-Uni,attaquant,13,51,6,PL,1989,2009,0,11,legende
Q10548,Nigel Gibbs,nigel gibbs,Royaume-Uni,Royaume-Uni,arrière latéral,1,21,9,PL,1983,2002,0,11,legende
Q10552,Robert Page,robert page,Pays de Galles,Royaume-Uni,défenseur / défenseur central,6,27,25,PL,1993,2011,0,28,legende
Q10556,Heiðar Helguson,heidar helguson,Islande,Islande,attaquant,8,89,27,PL,1993,2013,0,36,legende
Q10560,Freddie Ljungberg,freddie ljungberg,Suède,Suède,ailier,8,217,64,PL,1994,2014,192,124,facile
Q10569,Danny Graham,danny graham,Royaume-Uni,Royaume-Uni,attaquant,12,87,29,PL,2004,2014,0,38,legende
Q10572,Adrian Mariappa,adrian mariappa,Royaume-Uni,Royaume-Uni,arrière latéral,3,60,27,PL,2005,2013,0,33,legende
Q10577,Tom Cleverley,tom cleverley,Angleterre,Royaume-Uni,milieu de terrain,6,246,52,PL,2008,2023,55,88,moyen
Q10581,Tommy Smith,tommy smith,Royaume-Uni,Royaume-Uni,attaquant / milieu de terrain,7,122,10,PL,1997,2015,0,22,legende
Q10585,Ben Foster,ben foster,Angleterre,Royaume-Uni,gardien de but,11,363,52,PL,2000,2023,12,91,moyen
