club,label
http://www.wikidata.org/entity/Q13645,Tempio Pausania
http://www.wikidata.org/entity/Q13666,Messine
http://www.wikidata.org/entity/Q100782,Colorno
http://www.wikidata.org/entity/Q104565,Darfo Boario Terme
http://www.wikidata.org/entity/Q117996,Al-Shorta SC
http://www.wikidata.org/entity/Q100919,San Secondo Parmense
http://www.wikidata.org/entity/Q101161,Grumello del Monte
http://www.wikidata.org/entity/Q122892,Bromley
http://www.wikidata.org/entity/Q128022,Real Potosí
http://www.wikidata.org/entity/Q131128,Braunau am Inn
http://www.wikidata.org/entity/Q161217,07 Vestur
http://www.wikidata.org/entity/Q162245,FC Herzogenaurach
http://www.wikidata.org/entity/Q162366,1. FC Phönix Lübeck
http://www.wikidata.org/entity/Q1022931,Cercle athlétique de Paris
http://www.wikidata.org/entity/Q1024459,Club sportif Bourgoin-Jallieu rugby
http://www.wikidata.org/entity/Q1024460,Club Sport Cartaginés
http://www.wikidata.org/entity/Q1035297,Carabobo FC
http://www.wikidata.org/entity/Q1156579,Erbil Sports Club
http://www.wikidata.org/entity/Q1157106,Torres Calcio
http://www.wikidata.org/entity/Q1164584,Ginásio Clube de Alcobaça
http://www.wikidata.org/entity/Q1186020,BBCU F.C.
http://www.wikidata.org/entity/Q1188299,Muktijoddha Sangsad KS
http://www.wikidata.org/entity/Q1198933,Sandecja Nowy Sącz
http://www.wikidata.org/entity/Q1046326,FC Ulytau
http://www.wikidata.org/entity/Q1052685,Ceglédi VSE
http://www.wikidata.org/entity/Q1055896,Oman Club
http://www.wikidata.org/entity/Q1057881,Ceyhanspor
http://www.wikidata.org/entity/Q1088121,Pro Recco
http://www.wikidata.org/entity/Q1088962,Fratellanza Sportiva Sestrese Calcio 1919
http://www.wikidata.org/entity/Q1089769,Atletico Piombino
http://www.wikidata.org/entity/Q1102967,Club Ciudad de Bolívar
http://www.wikidata.org/entity/Q1102990,Club General Díaz
http://www.wikidata.org/entity/Q1117815,TSV Kottern
http://www.wikidata.org/entity/Q1119349,Union sportive Mondorf-les-Bains
http://www.wikidata.org/entity/Q1122851,Libera Università Internazionale degli Studi Sociali
http://www.wikidata.org/entity/Q1131793,Lindsdals IF
http://www.wikidata.org/entity/Q1136967,Hammarby Talang FF
http://www.wikidata.org/entity/Q1142727,FK Varnsdorf
http://www.wikidata.org/entity/Q1387056,FK Dunav Ruse
http://www.wikidata.org/entity/Q1387210,Football Club Jeunesse Canach
http://www.wikidata.org/entity/Q1387246,Khonkaen F.C.
http://www.wikidata.org/entity/Q1387328,Football Club de Lyon
http://www.wikidata.org/entity/Q1387600,FC Ruggell
http://www.wikidata.org/entity/Q1387607,FC Saint Éloi Lupopo
http://www.wikidata.org/entity/Q1228264,KF Feronikeli
http://www.wikidata.org/entity/Q1263906,FK Bukhara
http://www.wikidata.org/entity/Q1277198,Kaya F.C.
http://www.wikidata.org/entity/Q1280988,KVC Sint-Eloois-Winkel Sport
http://www.wikidata.org/entity/Q1302027,KF Egnatia Rrogozhinë
http://www.wikidata.org/entity/Q1322336,US Thionville-Lusitanos
http://www.wikidata.org/entity/Q1343899,Kotwica Kołobrzeg
http://www.wikidata.org/entity/Q1348301,NK Vinogradar
http://www.wikidata.org/entity/Q1349653,KS Besëlidhja Lezhë
http://www.wikidata.org/entity/Q1358297,Persiba Balikpapan
http://www.wikidata.org/entity/Q1386979,FC Cesarense
http://www.wikidata.org/entity/Q1387720,Thanh Hóa Football Club
http://www.wikidata.org/entity/Q1387792,FC UNA Strassen
http://www.wikidata.org/entity/Q1389072,FK Rudar Prijedor
http://www.wikidata.org/entity/Q1389087,FK Slovan Duslo Šaľa
http://www.wikidata.org/entity/Q1389671,FSV Jägersburg
http://www.wikidata.org/entity/Q1551160,Gryf Wejherowo
http://www.wikidata.org/entity/Q1559309,Gölcükspor
http://www.wikidata.org/entity/Q1563840,HK Kópavogur
http://www.wikidata.org/entity/Q1576328,Hannoverscher SC
http://www.wikidata.org/entity/Q1577020,Hapoël Katamon Jérusalem
http://www.wikidata.org/entity/Q1581236,Limón Fútbol Club
http://www.wikidata.org/entity/Q1608208,Albirex Niigata Singapour Football Club
http://www.wikidata.org/entity/Q1422579,SV Heidingsfeld
http://www.wikidata.org/entity/Q1423655,Alakhdhar S.C.
http://www.wikidata.org/entity/Q1439499,Ma Pau SC
http://www.wikidata.org/entity/Q1465095,Friska Viljor FC
http://www.wikidata.org/entity/Q1471031,Mohammedan Sporting Club
http://www.wikidata.org/entity/Q1471336,IK Sirius
http://www.wikidata.org/entity/Q1472823,Újpest FC II
http://www.wikidata.org/entity/Q1623119,FK Sinđelić Belgrade
http://www.wikidata.org/entity/Q1628465,TKİ Tavşanlı Linyitspor
http://www.wikidata.org/entity/Q1635778,FK Spartak Varna
http://www.wikidata.org/entity/Q1654017,IK Kongahälla
http://www.wikidata.org/entity/Q10275219,Esporte Clube São Bernardo
http://www.wikidata.org/entity/Q10282853,Floresta Esporte Clube
http://www.wikidata.org/entity/Q10291731,GD Alcochetense
http://www.wikidata.org/entity/Q1474411,Klepp IL
http://www.wikidata.org/entity/Q1493178,Gamle Oslo
http://www.wikidata.org/entity/Q1507157,TSV Aubstadt
http://www.wikidata.org/entity/Q1515533,Pelikan Łowicz
http://www.wikidata.org/entity/Q1532185,Hutteen SC
http://www.wikidata.org/entity/Q1542781,FC Swift Hesperange
