player,club,clubLabel,apps,start,end
http://www.wikidata.org/entity/Q2054985,http://www.wikidata.org/entity/Q201567,IFK Göteborg,13.0,2003-01-01T00:00:00Z,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2054985,http://www.wikidata.org/entity/Q204220,Red Bulls de New York,17.0,2002-01-01T00:00:00Z,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2054985,http://www.wikidata.org/entity/Q1520442,Jomo Cosmos Football Club,23.0,2005-01-01T00:00:00Z,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2054985,http://www.wikidata.org/entity/Q214374,Lillestrøm SK,29.0,1997-01-01T00:00:00Z,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2054985,http://www.wikidata.org/entity/Q659212,FC Saint-Gall,21.0,1995-01-01T00:00:00Z,1996-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2054985,http://www.wikidata.org/entity/Q2046312,Pahang FA,11.0,2004-01-01T00:00:00Z,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2054985,http://www.wikidata.org/entity/Q421009,Mutiny de Tampa Bay,50.0,2000-01-01T00:00:00Z,2001-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2054985,http://www.wikidata.org/entity/Q169985,Pohang Steelers,11.0,2004-01-01T00:00:00Z,2004-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2054985,http://www.wikidata.org/entity/Q550251,Djoliba AC,,2006-01-01T00:00:00Z,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2054985,http://www.wikidata.org/entity/Q1476115,KACM,60.0,1993-01-01T00:00:00Z,1995-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2054985,http://www.wikidata.org/entity/Q297375,Union Culturelle et Sportive des Travailleurs du Port Autonome,45.0,1991-01-01T00:00:00Z,1993-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2054985,http://www.wikidata.org/entity/Q197093,Zeytinburnuspor,30.0,1996-01-01T00:00:00Z,1997-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2054985,http://www.wikidata.org/entity/Q212819,Vålerenga Fotball,8.0,1999-01-01T00:00:00Z,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2054985,http://www.wikidata.org/entity/Q2046312,Pahang FA,11.0,2004-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2054985,http://www.wikidata.org/entity/Q154293,MSV Duisbourg,7.0,1999-01-01T00:00:00Z,1999-01-01T00:00:00Z
