player,playerLabel,natLabel,posLabel,sitelinks
http://www.wikidata.org/entity/Q478941,Aaron Mooy,Australie,milieu de terrain,35
http://www.wikidata.org/entity/Q479590,Abdelnasser Ouadah,France,milieu de terrain,11
http://www.wikidata.org/entity/Q479590,Abdelnasser Ouadah,Algérie,milieu de terrain,11
http://www.wikidata.org/entity/Q479749,Davidson Drobo-Ampem,Allemagne,défenseur,9
http://www.wikidata.org/entity/Q480542,Abraham Paz,Espagne,défenseur,16
http://www.wikidata.org/entity/Q481185,Shervin Radjabali-Fardi,Allemagne,arrière latéral,9
http://www.wikidata.org/entity/Q481185,Shervin Radjabali-Fardi,Iran,arrière latéral,9
http://www.wikidata.org/entity/Q481540,Fanol Perdedaj,Allemagne,milieu de terrain,19
http://www.wikidata.org/entity/Q482222,Adam Kay,Royaume-Uni,milieu de terrain,4
http://www.wikidata.org/entity/Q482232,Adam Legzdins,Royaume-Uni,gardien de but,18
http://www.wikidata.org/entity/Q482602,Roberto Luís Gaspar Deus Severo,Portugal,défenseur central,26
http://www.wikidata.org/entity/Q482883,Kim Do-heon,Corée du Sud,milieu de terrain,22
http://www.wikidata.org/entity/Q482992,Shao Jiayi,république populaire de Chine,milieu de terrain,25
http://www.wikidata.org/entity/Q483202,Serhiy Skachenko,Ukraine,attaquant,43
http://www.wikidata.org/entity/Q483202,Serhiy Skachenko,Union soviétique,attaquant,43
http://www.wikidata.org/entity/Q483510,Nam Tae-hee,Corée du Sud,milieu excentré,27
http://www.wikidata.org/entity/Q485775,Yun Suk-young,Corée du Sud,arrière latéral,29
http://www.wikidata.org/entity/Q488706,Zoran Rendulić,France,défenseur,12
http://www.wikidata.org/entity/Q488706,Zoran Rendulić,Serbie,défenseur,12
http://www.wikidata.org/entity/Q489945,Marc Stein,Allemagne,milieu de terrain,12
http://www.wikidata.org/entity/Q489945,Marc Stein,République démocratique allemande,milieu de terrain,12
http://www.wikidata.org/entity/Q490518,Ander Garitano,Espagne,milieu de terrain,15
http://www.wikidata.org/entity/Q490858,Anders Christiansen,Royaume de Danemark,milieu de terrain,26
http://www.wikidata.org/entity/Q491630,Ricardo Esteves,Portugal,milieu de terrain,8
http://www.wikidata.org/entity/Q493156,André Hoffmann,Allemagne,défenseur,20
http://www.wikidata.org/entity/Q493189,Andre Mijatović,Croatie,défenseur,14
http://www.wikidata.org/entity/Q494286,Cho Won-hee,Corée du Sud,défenseur,22
http://www.wikidata.org/entity/Q495477,Kim Kyung-jung,Corée du Sud,milieu de terrain,12
http://www.wikidata.org/entity/Q495477,Kim Kyung-jung,Corée du Sud,milieu excentré,12
http://www.wikidata.org/entity/Q496553,Gary Hooper,Royaume-Uni,attaquant,24
http://www.wikidata.org/entity/Q498468,Andreas Jakobsson,Suède,défenseur,22
http://www.wikidata.org/entity/Q498576,Andreas Johansson,Suède,milieu de terrain,13
http://www.wikidata.org/entity/Q498579,Andreas Johansson,Suède,milieu de terrain,15
http://www.wikidata.org/entity/Q498579,Andreas Johansson,Suède,attaquant,15
http://www.wikidata.org/entity/Q499199,Andreas Lambertz,Allemagne,milieu de terrain,13
http://www.wikidata.org/entity/Q499258,Andreas Laudrup,Royaume de Danemark,milieu excentré,12
http://www.wikidata.org/entity/Q500940,Andreas Thom,Allemagne,attaquant,25
http://www.wikidata.org/entity/Q500940,Andreas Thom,République démocratique allemande,attaquant,25
http://www.wikidata.org/entity/Q501969,Genki Omae,Japon,attaquant,28
http://www.wikidata.org/entity/Q503158,Andrejs Perepļotkins,Lettonie,milieu excentré,18
http://www.wikidata.org/entity/Q503158,Andrejs Perepļotkins,Ukraine,milieu excentré,18
http://www.wikidata.org/entity/Q504413,Jawhar Mnari,Tunisie,milieu de terrain,23
http://www.wikidata.org/entity/Q504729,Kamil Kosowski,Pologne,milieu de terrain,26
http://www.wikidata.org/entity/Q504911,Solomon Okoronkwo,Nigeria,attaquant,23
http://www.wikidata.org/entity/Q505800,Thomas Christiansen,Espagne,attaquant,30
http://www.wikidata.org/entity/Q505800,Thomas Christiansen,Royaume de Danemark,attaquant,30
http://www.wikidata.org/entity/Q506221,Jean-Kasongo Banza,République démocratique du Congo,attaquant,12
http://www.wikidata.org/entity/Q506731,Enis Hajri,Allemagne,défenseur,10
http://www.wikidata.org/entity/Q507433,Matthias Ostrzolek,Pologne,défenseur,19
http://www.wikidata.org/entity/Q507433,Matthias Ostrzolek,Allemagne,défenseur,19
http://www.wikidata.org/entity/Q507961,Andrew Taylor,Royaume-Uni,défenseur,15
http://www.wikidata.org/entity/Q508009,Mauro Formica,Italie,milieu de terrain,20
http://www.wikidata.org/entity/Q508009,Mauro Formica,Argentine,milieu de terrain,20
http://www.wikidata.org/entity/Q508009,Mauro Formica,Bolivie,milieu de terrain,20
http://www.wikidata.org/entity/Q508316,Deivid,Brésil,attaquant,20
http://www.wikidata.org/entity/Q508388,Emanuel Benito Rivas,Argentine,milieu de terrain,10
http://www.wikidata.org/entity/Q508576,Enrique López Delgado,Espagne,milieu excentré,9
http://www.wikidata.org/entity/Q508665,Raymond Kalla,Cameroun,défenseur central,21
http://www.wikidata.org/entity/Q509498,Abdoulaye Cissé,Burkina Faso,attaquant,10
http://www.wikidata.org/entity/Q509965,Daniel Yeboah,Côte d'Ivoire,gardien de but,23
http://www.wikidata.org/entity/Q510428,Polat Keser,Turquie,gardien de but,7
http://www.wikidata.org/entity/Q510428,Polat Keser,Allemagne,gardien de but,7
http://www.wikidata.org/entity/Q511076,Alejandro Faurlín,Argentine,milieu de terrain,20
http://www.wikidata.org/entity/Q511220,Emmanuel Agyemang-Badu,Ghana,milieu de terrain,32
http://www.wikidata.org/entity/Q511298,Paco Soler,Espagne,milieu de terrain,20
http://www.wikidata.org/entity/Q512769,Janne Saarinen,Finlande,arrière latéral,15
http://www.wikidata.org/entity/Q513904,Michael Jakobsen,Royaume de Danemark,défenseur,17
http://www.wikidata.org/entity/Q514341,Cosmin Moți,Roumanie,défenseur central,28
http://www.wikidata.org/entity/Q514568,Pablo Barrientos,Argentine,milieu de terrain,16
http://www.wikidata.org/entity/Q514631,Ludovic Guerriero,France,milieu de terrain,6
http://www.wikidata.org/entity/Q515039,Igor Štimac,Croatie,défenseur,29
http://www.wikidata.org/entity/Q515068,Andrzej Juskowiak,Pologne,attaquant,22
http://www.wikidata.org/entity/Q516161,Sascha Mölders,Allemagne,attaquant,15
http://www.wikidata.org/entity/Q516535,Scott Jamieson,Australie,défenseur,12
http://www.wikidata.org/entity/Q517015,Sergueï Krivets,Biélorussie,milieu de terrain,19
http://www.wikidata.org/entity/Q517257,André Breitenreiter,Allemagne,milieu de terrain,17
http://www.wikidata.org/entity/Q517701,André Castro,Portugal,milieu de terrain,17
http://www.wikidata.org/entity/Q518525,André Felipe,Brésil,attaquant,21
http://www.wikidata.org/entity/Q518527,André Fomitschow,Allemagne,milieu de terrain,11
http://www.wikidata.org/entity/Q518959,Mario Mutsch,Luxembourg,milieu de terrain,21
http://www.wikidata.org/entity/Q519125,Mihai Tararache,Roumanie,milieu de terrain,10
http://www.wikidata.org/entity/Q519462,André Hahn,Allemagne,milieu excentré,26
http://www.wikidata.org/entity/Q519602,Igor Simutenkov,Russie,attaquant,23
http://www.wikidata.org/entity/Q519602,Igor Simutenkov,Union soviétique,attaquant,23
http://www.wikidata.org/entity/Q519675,André Hofschneider,Allemagne,défenseur,7
http://www.wikidata.org/entity/Q519675,André Hofschneider,République démocratique allemande,défenseur,7
http://www.wikidata.org/entity/Q520100,Gaël Nlundulu,France,attaquant,8
http://www.wikidata.org/entity/Q520587,Gionatha Spinesi,Italie,attaquant,13
http://www.wikidata.org/entity/Q520774,André Lenz,Allemagne,gardien de but,11
http://www.wikidata.org/entity/Q520909,Rudy Gestede,France,attaquant,22
http://www.wikidata.org/entity/Q520909,Rudy Gestede,Bénin,attaquant,22
http://www.wikidata.org/entity/Q520972,André Luiz Barretto Silva Lima,Brésil,attaquant,16
http://www.wikidata.org/entity/Q521345,Jaouad Zaïri,France,milieu excentré,16
http://www.wikidata.org/entity/Q521345,Jaouad Zaïri,Maroc,milieu excentré,16
http://www.wikidata.org/entity/Q522003,Wendel,Brésil,milieu de terrain,19
http://www.wikidata.org/entity/Q522020,Fernando Menegazzo,Brésil,milieu de terrain,20
http://www.wikidata.org/entity/Q522030,Jan Šimůnek,Tchéquie,défenseur,17
http://www.wikidata.org/entity/Q522539,Anton Müller,Allemagne,milieu de terrain,5
http://www.wikidata.org/entity/Q523074,Marcelo Tejera,Uruguay,milieu de terrain,9
http://www.wikidata.org/entity/Q523543,Jonatan Johansson,Finlande,attaquant,22
http://www.wikidata.org/entity/Q532345,Igor Mitreski,Macédoine du Nord,défenseur,16
http://www.wikidata.org/entity/Q532812,Michael Madsen,Royaume de Danemark,défenseur,8
http://www.wikidata.org/entity/Q533508,Daniel Scheinhardt,Allemagne,défenseur,3
http://www.wikidata.org/entity/Q533537,Giovanny Espinoza,Équateur,défenseur central,22
http://www.wikidata.org/entity/Q533712,Carlos Humberto Paredes,Paraguay,milieu de terrain,23
http://www.wikidata.org/entity/Q534215,Michael Lamey,Nigeria,défenseur,13
http://www.wikidata.org/entity/Q534215,Michael Lamey,Royaume des Pays-Bas,défenseur,13
http://www.wikidata.org/entity/Q534215,Michael Lamey,Nigeria,arrière latéral,13
http://www.wikidata.org/entity/Q534215,Michael Lamey,Royaume des Pays-Bas,arrière latéral,13
http://www.wikidata.org/entity/Q536035,Jacob Laursen,Royaume de Danemark,défenseur,18
http://www.wikidata.org/entity/Q536409,Maciej Murawski,Pologne,défenseur,17
http://www.wikidata.org/entity/Q537516,Nicky Adler,Allemagne,attaquant,13
http://www.wikidata.org/entity/Q537516,Nicky Adler,République démocratique allemande,attaquant,13
http://www.wikidata.org/entity/Q537581,Simon Donnelly,Royaume-Uni,attaquant,20
