player,club,apps,start,end
http://www.wikidata.org/entity/Q1460277,http://www.wikidata.org/entity/Q501245,27.0,2008-01-01T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1460277,http://www.wikidata.org/entity/Q289613,47.0,2004-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1460277,http://www.wikidata.org/entity/Q501245,62.0,2005-01-01T00:00:00Z,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1461382,http://www.wikidata.org/entity/Q501245,6.0,1999-01-01T00:00:00Z,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1461382,http://www.wikidata.org/entity/Q289482,18.0,2006-01-01T00:00:00Z,2007-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1461382,http://www.wikidata.org/entity/Q501245,9.0,2005-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1464710,http://www.wikidata.org/entity/Q611222,113.0,1997-01-01T00:00:00Z,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1464963,http://www.wikidata.org/entity/Q459794,44.0,2000-01-01T00:00:00Z,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1465044,http://www.wikidata.org/entity/Q611222,120.0,1998-01-01T00:00:00Z,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1465538,http://www.wikidata.org/entity/Q847587,22.0,2005-01-01T00:00:00Z,2006-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1465538,http://www.wikidata.org/entity/Q501245,14.0,2004-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1466051,http://www.wikidata.org/entity/Q289613,99.0,2006-01-01T00:00:00Z,2009-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1466230,http://www.wikidata.org/entity/Q289482,24.0,2007-01-01T00:00:00Z,2008-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1466614,http://www.wikidata.org/entity/Q847587,192.0,1993-01-01T00:00:00Z,1999-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1466614,http://www.wikidata.org/entity/Q847587,38.0,2003-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1466912,http://www.wikidata.org/entity/Q501245,29.0,2001-01-01T00:00:00Z,2002-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1466912,http://www.wikidata.org/entity/Q1120838,50.0,2003-01-01T00:00:00Z,2005-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1466940,http://www.wikidata.org/entity/Q611222,4.0,2002-01-01T00:00:00Z,2003-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1467016,http://www.wikidata.org/entity/Q1120838,54.0,2008-01-01T00:00:00Z,2010-01-01T00:00:00Z
